Organization,Threat Actor,Date
iongroup.com,lockbit3,2/2/2023
European Window,medusa,2/2/2023
McEwan Fraser Legal,alphv,2/2/2023
MESSER CUTTING SYSTEMS,royal,2/2/2023
biosonicsinc.com,lockbit3,2/2/2023
seelllc.com,lockbit3,2/2/2023
byte.gr,lockbit3,2/2/2023
avantetextil.com.mx,lockbit3,2/2/2023
plasmasurgical.com,lockbit3,2/2/2023
nlsmichigan.org,lockbit3,2/2/2023
transportsn.com,lockbit3,2/2/2023
kostika.co.il,lockbit3,2/2/2023
fabricatedpipe.com,lockbit3,2/2/2023
guardiananalytics.com,lockbit3,2/3/2023
tonoli.com,lockbit3,2/3/2023
crystalcreamery.com,lockbit3,2/3/2023
sakrgroup.net,lockbit3,2/3/2023
bethrivkah.edu,lockbit3,2/3/2023
scandia.ro,lockbit3,2/3/2023
jjdentistry.com,lockbit3,2/3/2023
EnCom,medusa,2/3/2023
PFA Systems,medusa,2/3/2023
Elim Clinic,medusa,2/3/2023
Elektro Richter,medusa,2/3/2023
redfordpd.com,lockbit3,2/3/2023
Point Dedicated Services,play,2/3/2023
urmgroup.com.au,lockbit3,2/3/2023
virtuosgames.com,lockbit3,2/3/2023
Surtronics,bianlian,2/4/2023
G&G ectronics,bianlian,2/4/2023
nexuspoint.com,lockbit3,2/4/2023
"Five Guys Enterprises, LLC",alphv,2/4/2023
Finaport,alphv,2/5/2023
bplawyers.co.id,lockbit3,2/5/2023
qsi-q3.de,lockbit3,2/5/2023
El-Mohandes,alphv,2/6/2023
etbrick.com,lockbit3,2/6/2023
crispinvalve.com,lockbit3,2/6/2023
wcinet.com,lockbit3,2/6/2023
prlabs.com,lockbit3,2/6/2023
nicklaus.com,lockbit3,2/6/2023
jams.edu.jo,lockbit3,2/6/2023
medellin.gov.co,lockbit3,2/6/2023
hkri.com,lockbit3,2/6/2023
INNOVATION COLLABORATION SYNERGY,royal,2/6/2023
A*********,bianlian,2/6/2023
A***,bianlian,2/6/2023
*r***** ********** ******** ***********,bianlian,2/6/2023
"Woodmeister Master Builders, Inc.",bianlian,2/6/2023
teleapps.com,lockbit3,2/6/2023
AmerisourceBergen/Censora - MWI Animal Health,lorenz,2/6/2023
?C?,play,2/6/2023
L?? C??e,play,2/6/2023
royalmailgroup.com,lockbit3,2/7/2023
The DGCX,ransomhouse,2/7/2023
cantinatollo.it,lockbit3,2/7/2023
Penn Power Group,blackbyte,2/7/2023
transports-feuillet.fr,lockbit3,2/8/2023
Trendsetter Engineering,royal,2/8/2023
"Kerber, Eck & Braeckel LLP",alphv,2/8/2023
JReynolds,alphv,2/8/2023
Menken Orlando,alphv,2/8/2023
ACS,play,2/8/2023
Cave Beblenheim,play,2/8/2023
A10,play,2/9/2023
Mount Saint Mary College,vicesociety,2/9/2023
phihong.com.tw,lockbit3,2/9/2023
arcessex.org,lockbit3,2/9/2023
Diethelm Keller Aviation Pte Ltd ,medusa,2/9/2023
M???????? S??,play,2/9/2023
Jeffries Morris,ransomhouse,2/9/2023
Tucson Unified School District,royal,2/10/2023
Tonga Communications,medusa,2/11/2023
Hamilton Parker,avoslocker,2/11/2023
Ultralife Corporation,avoslocker,2/11/2023
Schandy,avoslocker,2/11/2023
CannonDesign,avoslocker,2/11/2023
Wesco Turf,avoslocker,2/11/2023
Buckeye Packaging,avoslocker,2/11/2023
Global Mining Products,avoslocker,2/11/2023
Memtech Acoustical,avoslocker,2/11/2023
Cambian Group,avoslocker,2/11/2023
HAK Grazbachgasse,bianlian,2/11/2023
Thompson Safety,bianlian,2/11/2023
ANXA,bianlian,2/11/2023
Advance2000,bianlian,2/11/2023
"B&G Foods (CA, US)",daixin,2/11/2023
Alexandercity,royal,2/12/2023
Aviacode (GeBBS),0mega,2/12/2023
interpaving.com,lockbit3,2/12/2023
maysecc.com,lockbit3,2/12/2023
Danielski Farms Inc.,bianlian,2/12/2023
The Gucciardo Law Firm,bianlian,2/12/2023
I*****,bianlian,2/12/2023
covermeinsurance.com,lockbit3,2/12/2023
mrkpc.com,lockbit3,2/12/2023
Cork Institute of Technology & Munster Technological University,alphv,2/12/2023
Inland Group,blackbyte,2/12/2023
albouyassociesconsult,vendetta,2/12/2023
mhstech.com,lockbit3,2/12/2023
ppinvestors.com,lockbit3,2/12/2023
wilsonart.co.th,lockbit3,2/12/2023
olsenlawgroup.com,lockbit3,2/12/2023
lhermite-agri.com,lockbit3,2/12/2023
greekpeak.net,lockbit3,2/13/2023
laganscg.com,lockbit3,2/13/2023
mdstrucking.com,lockbit3,2/13/2023
chempartner.com,lockbit3,2/13/2023
tucsoneyecare.com,lockbit3,2/13/2023
hidalgocounty.us,lockbit3,2/13/2023
vanderkaay.com,lockbit3,2/13/2023
nonson.com.vn,lockbit3,2/13/2023
mangalagroup.com,lockbit3,2/13/2023
dana-group.com,lockbit3,2/13/2023
Reventics,royal,2/13/2023
cassaragionieri.it,lockbit3,2/13/2023
Eureka Casino Resort,medusa,2/13/2023
Delallo,royal,2/14/2023
Banco Sol,alphv,2/14/2023
Vitas,alphv,2/14/2023
Hospital Service SpA,ransomhouse,2/14/2023
srf.com,lockbit3,2/14/2023
albanesi.com.ar,lockbit3,2/14/2023
cefcostores.com,lockbit3,2/14/2023
Leal Group,alphv,2/14/2023
Energie Pool Schweiz,play,2/14/2023
Microgame SpA,play,2/14/2023
gruppobeltrame.com,lockbit3,2/15/2023
AMADA WELD TECH,alphv,2/15/2023
nationallocums.co.uk,lockbit3,2/15/2023
montibello.com,lockbit3,2/15/2023
richardsind.com,lockbit3,2/15/2023
vipar.com,lockbit3,2/15/2023
semsinc.net,lockbit3,2/15/2023
PetroChina Indonesia,medusa,2/15/2023
"Hengmei Optoelectronics Co.,Ltd.",alphv,2/15/2023
trudi.it,lockbit3,2/15/2023
blackandwhitecabs.com.au,lockbit3,2/15/2023
Evans Consoles,royal,2/16/2023
Gallier OrlÃ©ans,mallox,2/16/2023
Hydrofit Alliance Ltd,mallox,2/16/2023
"Mecaro Co., Ltd",mallox,2/16/2023
coreautomation.com,lockbit3,2/16/2023
Foamtec International,medusa,2/16/2023
Cansew,alphv,2/16/2023
Wawasee Community School Corporation,alphv,2/16/2023
royallepage.ca,lockbit3,2/16/2023
ziapueblo.org,lockbit3,2/16/2023
vitrox.com,lockbit3,2/16/2023
myerspower.com,lockbit3,2/16/2023
vissan.com.vn,lockbit3,2/17/2023
Skyway Endodontics,bianlian,2/17/2023
Smith Industries,bianlian,2/17/2023
newbridge.org,lockbit3,2/17/2023
Suburban Laboratories,bianlian,2/17/2023
Fibertec,bianlian,2/17/2023
NESG,bianlian,2/17/2023
fikes.com,lockbit3,2/17/2023
cordfinancial.com,lockbit3,2/17/2023
AP Emissions Technologies,medusa,2/17/2023
alliedtools.com,lockbit3,2/17/2023
SINGLESOURCE,alphv,2/17/2023
innophaseinc.com,lockbit3,2/18/2023
hotdesk.me,lockbit3,2/18/2023
piercetransit.org,lockbit3,2/18/2023
inowai.com,lockbit3,2/18/2023
aguasdoporto.pt,lockbit3,2/18/2023
diavaz.com,lockbit3,2/18/2023
isosteo.fr,lockbit3,2/18/2023
primorossi.com.br,lockbit3,2/18/2023
sandycove.org,lockbit3,2/18/2023
championfp.com,lockbit3,2/18/2023
International Center of Photography,medusa,2/19/2023
BakerMechanicalInc.com,lockbit3,2/19/2023
anthonymartin.be,lockbit3,2/19/2023
elliotthomes.com,lockbit3,2/19/2023
laremo.de,lockbit3,2/19/2023
servicesfinanciersjdf.com,lockbit3,2/19/2023
jetboxcargo.com,lockbit3,2/19/2023
UNIS,royal,2/20/2023
DALLAS SCHOOL DISTRICT,royal,2/20/2023
Ancora - Sistemas de Fixacao,royal,2/20/2023
carlocksystems.com,lockbit3,2/20/2023
GIGATRON.RS,qilin,2/20/2023
Hopsteiner,lorenz,2/20/2023
I???o e???t???,play,2/21/2023
Highwealth,vendetta,2/21/2023
La Filipina,alphv,2/21/2023
Markas,alphv,2/21/2023
Summit Brands,alphv,2/21/2023
FUTURE BUILDINGS WAS HACKED. MORE THAN 150GB SENSETIVE DATA LEAKED,alphv,2/21/2023
lasegunda.com.ar,lockbit3,2/21/2023
lyonhealy.com,lockbit3,2/21/2023
treves-group.com,lockbit3,2/21/2023
vuu.edu,lockbit3,2/21/2023
beacontech.net,lockbit3,2/21/2023
kboattorneys.com,lockbit3,2/21/2023
Stone and Electrical Contractors,royal,2/22/2023
City of Lakewood,alphv,2/22/2023
EncinoEnergy,alphv,2/22/2023
fosterfarms.com,lockbit3,2/22/2023
skylinetrisource.com,lockbit3,2/22/2023
siqueiracastro.com.br,lockbit3,2/22/2023
nougat-carlier.be,lockbit3,2/22/2023
RAYAB Consulting Engineers,medusa,2/22/2023
"Moose, Martin, Haynes & Lundy",medusa,2/22/2023
PRESTIGE MAINTENANCE USA WAS HACKED,alphv,2/22/2023
AASP claim there was no data leakage!,ragnarlocker,2/22/2023
BULOG,ransomexx,2/22/2023
Kendall Hunt Publishing,alphv,2/22/2023
Bond It,ransomhouse,2/22/2023
"Empresa Distribuidora de Electricidad del Este, Revenue $633.6M",alphv,2/23/2023
AESCULAPIUS Farmaceutici,ransomhouse,2/23/2023
"""FICCI""",mallox,2/23/2023
Glovers Solicitors LLP,alphv,2/23/2023
The Keen Group,alphv,2/23/2023
Schwartz Hautmont Port Shop,royal,2/24/2023
Smarter Capital,alphv,2/24/2023
delawarelife.com,lockbit3,2/24/2023
InPro electric,play,2/24/2023
ispace.com,lockbit3,2/24/2023
thinkwelty.com,alphv,2/26/2023
D***,bianlian,2/26/2023
A**** ********* ********* & *****,bianlian,2/26/2023
G&G Electronics,bianlian,2/26/2023
INDIKA ENERGY GLOBAL,alphv,2/26/2023
cotteeparker.com.au,lockbit3,2/27/2023
carveraero.com,lockbit3,2/27/2023
pcproductsinter.com,lockbit3,2/27/2023
wcso.us,lockbit3,2/27/2023
bocca-sacs.com,lockbit3,2/27/2023
wsisd.com,lockbit3,2/27/2023
moci.gov.kw,lockbit3,2/27/2023
Chowtaifook,vendetta,2/27/2023
Coole Bevis Solicitors,alphv,2/27/2023
hyosung.jp,lockbit3,2/27/2023
rosenbauer.com,lockbit3,2/27/2023
MSX International,snatch,2/27/2023
Ingenico,snatch,2/27/2023
ilfsindia.com,lockbit3,2/28/2023
lsa-international.com,lockbit3,2/28/2023
princepalace.co.th,lockbit3,2/28/2023
nokair.com,lockbit3,2/28/2023
haeco.com,lockbit3,2/28/2023
df.senac.br,lockbit3,2/28/2023
georgeleslie.co.uk,lockbit3,2/28/2023
wmich.edu,lockbit3,2/28/2023
cobcreditunion.com,lockbit3,2/28/2023
globalcommunities.org,lockbit3,2/28/2023
Kimko Realty,alphv,2/28/2023
indigo.ca,lockbit3,2/28/2023
hafele.com,lockbit3,2/28/2023
laxmi.com,lockbit3,3/1/2023
hico-ics.com,lockbit3,3/1/2023
Kenya Airports Authority,medusa,3/1/2023
egas.no,lockbit3,3/1/2023
tjel.net,lockbit3,3/1/2023
Vesuvius,vicesociety,3/1/2023
Traffic Ticket Office,alphv,3/1/2023
Attent Zorg en Behandeling,qilin,3/1/2023
E&S Heating & Ventilation Ltd,ransomhouse,3/1/2023
Audio Video,ransomhouse,3/1/2023
FerreterÃ­a EPA,royal,3/2/2023
FIMM,royal,3/2/2023
O???a??,play,3/2/2023
The Metropolitan Opera,snatch,3/2/2023
ascentengrs.com,lockbit3,3/2/2023
Bettuzzi And Partners,ransomexx,3/2/2023
SkyFiber Networks,alphv,3/2/2023
CMMG Inc,alphv,3/2/2023
Welty Building Company,alphv,3/2/2023
blackswanhealth,alphv,3/2/2023
Oakland,play,3/3/2023
Parques Reunidos,bianlian,3/3/2023
M**** M************,bianlian,3/3/2023
PLP Architecture,bianlian,3/3/2023
Zerbe Retirement Community,bianlian,3/3/2023
ACCSC,bianlian,3/3/2023
New Leak in lawyers company.,ragnarlocker,3/3/2023
New Leak in lawyers company AASP.,ragnarlocker,3/3/2023
HUNOSA,vicesociety,3/3/2023
The WorkPlace,royal,3/4/2023
AICHELIN UNITHERM,mallox,3/4/2023
Lehigh Valley Health Network,alphv,3/5/2023
T******** ***** **********,bianlian,3/5/2023
S*********** **********,bianlian,3/5/2023
S***** ***********,bianlian,3/5/2023
A***** ********* **********,bianlian,3/5/2023
V******* ****,bianlian,3/5/2023
R****,bianlian,3/5/2023
P* ***** **** L****** ***,bianlian,3/5/2023
Los Altos Foods,alphv,3/5/2023
AddWeb Solution Pvt,mallox,3/5/2023
HAW Hamburg,vicesociety,3/5/2023
Richard Sanders,royal,3/6/2023
Krinos Foods,royal,3/6/2023
Wilhelm,royal,3/6/2023
PROTEKTOR,royal,3/6/2023
Circa Jewels,mallox,3/6/2023
The Institute of Space Technology,medusa,3/6/2023
HATCHBANK.COM,clop,3/6/2023
Kventa Kft,vicesociety,3/6/2023
Law Foundation of Silicon Valley,alphv,3/6/2023
hendrickcorp.com,lockbit3,3/6/2023
gdz.com,lockbit3,3/7/2023
Minneapolis Public Schools,medusa,3/7/2023
Regional Transportation Authority,monti,3/7/2023
workplace.org,lockbit3,3/7/2023
GROUPAMANA.COM,clop,3/7/2023
Wagner CAT,blackbyte,3/8/2023
Kanawha Scales,blackbasta,3/8/2023
fflawoffice,blackbasta,3/8/2023
MAKLERSOFTWARE,blackbasta,3/8/2023
Hall Booth Smith,blackbasta,3/8/2023
XLTRAILERS,blackbasta,3/8/2023
KWS,blackbasta,3/8/2023
Macomb Group,blackbasta,3/8/2023
clair,blackbasta,3/8/2023
NOVATI,blackbasta,3/8/2023
Newly Weds Foods,blackbasta,3/8/2023
Mettis Aerospace,blackbasta,3/8/2023
The Norfolk Capital Group,blackbasta,3/8/2023
Echelon Fitness,blackbasta,3/8/2023
Bayou Title,blackbasta,3/8/2023
PFC Brakes,blackbasta,3/8/2023
ATCDT,blackbasta,3/8/2023
Michael & Son,blackbasta,3/8/2023
Sandals Resorts International,blackbasta,3/8/2023
Potandon Foundation,blackbasta,3/8/2023
Sound Publishing,blackbasta,3/8/2023
"Ennis, Inc.",blackbasta,3/8/2023
WOODHAVEN,blackbasta,3/8/2023
CEC ELECTRICAL,blackbasta,3/8/2023
UPONOR,blackbasta,3/8/2023
SMLAW,blackbasta,3/8/2023
ARRI,blackbasta,3/8/2023
Mortons Media Group Ltd,blackbasta,3/8/2023
Altro,blackbasta,3/8/2023
LLF Lawyers,blackbasta,3/8/2023
Motivating Graphics,blackbasta,3/8/2023
CORPADS_2,blackbasta,3/8/2023
Wellington Power Corporation,royal,3/9/2023
Brauerei Schimpf,royal,3/9/2023
Thomaston Mills,royal,3/9/2023
Dancenter,alphv,3/9/2023
Optieng,alphv,3/9/2023
audio-technica.com,lockbit3,3/9/2023
Falcon Holdings,blackbyte,3/9/2023
Garbarino SAICeI,medusa,3/9/2023
National Business Furniture,medusa,3/9/2023
pmsoffice.de,lockbit3,3/9/2023
Highway Equipment,royal,3/10/2023
KMVP,royal,3/10/2023
Gottschol Alcuilux,royal,3/10/2023
Jackson Dean Construction,royal,3/10/2023
Hard Manufacturing,royal,3/10/2023
Materialogic,royal,3/10/2023
Little Mountain Residential Care and Housing Society,royal,3/10/2023
Lehigh Valley Health Network 2,alphv,3/10/2023
sagardoy.com,lockbit3,3/10/2023
ALIVIAHEALTH.COM,clop,3/10/2023
HOUSELOAN.COM,clop,3/10/2023
AXISBANK.COM,clop,3/10/2023
MEDMINDER.COM,clop,3/10/2023
PEOPLECORPORATION.COM,clop,3/10/2023
kisp.com,lockbit3,3/10/2023
wunan.org.au,lockbit3,3/10/2023
alpes-sante-travail.org,lockbit3,3/10/2023
schauenburg.com,lockbit3,3/10/2023
heidelbergbread.com,lockbit3,3/10/2023
southamericantours.com,lockbit3,3/10/2023
drilmaco.com,lockbit3,3/10/2023
techhard.ae,lockbit3,3/10/2023
micos.com,lockbit3,3/10/2023
Guardian Capital,alphv,3/10/2023
Temporary Leak Page #0013995NTa,ragnarlocker,3/10/2023
eprinsa.es,lockbit3,3/10/2023
favoritefoods.com,lockbit3,3/11/2023
cktc.edu,lockbit3,3/11/2023
omegaservicos.com.br,lockbit3,3/11/2023
inphenix.com,lockbit3,3/11/2023
cqservice.sk,lockbit3,3/11/2023
brandywine-homes.com,lockbit3,3/11/2023
meinet.com,lockbit3,3/11/2023
lubrimetal.com,lockbit3,3/11/2023
greggardnergm.com,lockbit3,3/11/2023
wyckoffcomfort.com,lockbit3,3/11/2023
bonta-viva.it,lockbit3,3/11/2023
grupohospitalarvidas.com.br,lockbit3,3/11/2023
schradercamargo.com,lockbit3,3/11/2023
Russell Finex,play,3/11/2023
Secure Wrap,play,3/11/2023
The M. K. Morse,play,3/11/2023
Leemock,play,3/11/2023
Real Pro,play,3/11/2023
Berkeley County Schools,vicesociety,3/11/2023
northgatesd.net,darkpower,3/11/2023
betastree.fr,darkpower,3/11/2023
mdclone.com,darkpower,3/11/2023
goliplik.com.tr,darkpower,3/11/2023
rcc.gob.pe,darkpower,3/11/2023
arineta.com,darkpower,3/11/2023
evant.com.tr,darkpower,3/11/2023
agados.cz,darkpower,3/11/2023
imtenan.com,darkpower,3/11/2023
onyx-pharma.dz,darkpower,3/11/2023
"Data Pro Accounting Software, Inc",bianlian,3/11/2023
Mason Manufacturing,bianlian,3/11/2023
Delaware Life Insurance Company,ransomhouse,3/11/2023
Bishop Luffa School,medusa,3/13/2023
Flensburger Schiffbau Gesellschaft mbH & Co. and Nobiskrug Yachts GmbH,bianlian,3/13/2023
jaureguy.com.ar,lockbit3,3/13/2023
dmos.com,lockbit3,3/13/2023
plasticproductsco.com,lockbit3,3/13/2023
S********* *****,bianlian,3/13/2023
Royal Dirkzwager,play,3/13/2023
maximumind.com,lockbit3,3/13/2023
sabena-engineering.com,lockbit3,3/13/2023
Ring: Security Systems,alphv,3/13/2023
St. Kitts & Nevis,ransomhouse,3/13/2023
LLPGroup,medusa,3/14/2023
G****** **** and *************,bianlian,3/14/2023
Tarolli,lorenz,3/14/2023
Manning Building Supplies,lorenz,3/14/2023
ONEX.COM,clop,3/14/2023
RUBRIK.COM,clop,3/14/2023
fiege.com,lockbit3,3/14/2023
Faraday Technology,ransomhouse,3/14/2023
essendant.com,lockbit3,3/14/2023
WALSHALBERT,alphv,3/14/2023
Liberty Lines,royal,3/15/2023
NRG Innovations DataBase Leak,everest,3/15/2023
Cambridge College,monti,3/15/2023
emotorsdirect.ca,lockbit3,3/15/2023
npauctions.com (copart.com),alphv,3/15/2023
kaycan.com,lockbit3,3/15/2023
Etex Communications,blackbyte,3/16/2023
National Institute of Ocean Technology,medusa,3/16/2023
waldogeneral.com,lockbit3,3/16/2023
perfectplacement.co.uk,lockbit3,3/16/2023
mandirisekuritas.co.id,lockbit3,3/16/2023
meatel.com,lockbit3,3/16/2023
regaltax.us,lockbit3,3/16/2023
buehnen.de,lockbit3,3/16/2023
radium.com.tw,lockbit3,3/16/2023
boothtransport.com,lockbit3,3/16/2023
ktcs.com.my,lockbit3,3/16/2023
Muzzo Group,alphv,3/16/2023
******* A********* *********** *******,bianlian,3/16/2023
USWELLNESS.COM,clop,3/16/2023
ALLIEDBENEFIT.COM,clop,3/16/2023
GUINNESSPARTNERSHIP.COM,clop,3/16/2023
HOMEWOODHEALTH.COM,clop,3/16/2023
ITXCOMPANIES.COM,clop,3/16/2023
RIOTINTO.COM,clop,3/16/2023
INVESTQUEBEC.COM,clop,3/16/2023
MEDEXHCO.COM,clop,3/16/2023
NEWEUROPEANOFFSHORE.COM,clop,3/16/2023
GALDERMA.COM,clop,3/16/2023
AVIDXCHANGE.COM,clop,3/16/2023
SAE.ORG,clop,3/16/2023
HITACHIENERGY.COM,clop,3/16/2023
HELLOBRIGHTLINE.COM,clop,3/16/2023
WELLBE.COM,clop,3/16/2023
ACENURSING.ORG,clop,3/16/2023
FERGUSON.COM,clop,3/16/2023
RATELINX.COM,clop,3/16/2023
TUEBORA.COM,clop,3/16/2023
SWEEPINGCORP.COM,clop,3/16/2023
WILDFIRE-DEFENSE.COM,clop,3/16/2023
WORLDMARKET.COM,clop,3/16/2023
